"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"OTU_21"	702.280680787864	-3.80390458261445	0.771591287123267	-4.92994755914961	8.22516929500528e-07	0.000100347065399064	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Aestuariibacter"
"OTU_11"	565.522136328441	1.68903823346883	0.376077083877191	4.49120221858663	7.08222684028788e-06	0.000432015837257561	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Gelidibacter"
"OTU_79"	41.5536320652428	-2.25766836064922	0.533054022745598	-4.23534625819099	2.28199791432444e-05	0.000928012485158606	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hyphomonas"
"OTU_10"	385.778248704397	-2.05591659368532	0.507665156887896	-4.04974926049398	5.12725396975411e-05	0.001563812460775	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Rubritalea"
"OTU_232"	117.522111646296	-2.152406041216	0.610753783587002	-3.52417962697629	0.000424796168121075	0.0103650265021542	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Rubritalea"
"OTU_155"	10.612648682386	-2.82874222584638	0.900865116923729	-3.14002859329925	0.00168931345479867	0.0343493735809062	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Saprospiraceae"	"Lewinella"
"OTU_26"	211.367712640981	1.64825099755752	0.536014610935708	3.07501132232237	0.00210494562601497	0.036686195196261	"Bacteria"	"Marinimicrobia"	"Marinimicrobia_genera_incertae_sedis"	"Marinimicrobia_genera_incertae_sedis"	"Marinimicrobia_genera_incertae_sedis"	"Marinimicrobia_genera_incertae_sedis"
"OTU_120"	10.7115633322345	-2.08074660773872	0.713713503253282	-2.91538074907392	0.00355254843066612	0.0437002636698266	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Octadecabacter"
"OTU_294"	1403.63769242018	0.917585597804478	0.315017923860663	2.91280440985428	0.00358198882539562	0.0437002636698266	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11"	"Candidatus Pelagibacter"
"OTU_217"	9.37533764198934	-2.31249991965457	0.789216917781273	-2.93011954958556	0.00338831619727601	0.0437002636698266	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_incertae_sedis"	"Eionea"	"Eionea"
