pub_date	title	venue	excerpt	citation	url_slug	paper_url
2017-01-10	Direct Heme Uptake by Phytoplankton-Associated Roseobacter Bacteria	mSystems	* Editor’s Pick at _mSystems_ * [Featured on mBiosphere](https://www.asm.org/index.php/mbiosphere/item/5444-recycling-iron-in-the-ocean) from the American Society for Microbiology * [Supplemental Material](https://dx.doi.org/10.6084/m9.figshare.4309547)	__Hogle SL__, Brahamsha B, Barbeau KA. (2017). Direct heme uptake by phytoplankton-associated _Roseobacter_ bacteria. _mSystems_ 2(1):e00124-16. DOI: 10.1128/mSystems.00124-16	hogle-et-al-2017-1	https://dx.doi.org/10.1128/mSystems.00124-16
2016-10-07	Copiotrophic marine bacteria are associated with strong iron-binding ligand production during phytoplankton blooms	Limnol. Oceanogr. Lett.	[Supplemental Material](https://github.com/slhogle/code-LO-letters-2016)	__Hogle SL__, Bundy RA, Blanton JM, Allen EE, Barbeau KA. (2016). Copiotrophic marine bacteria are associated with strong irong-binding ligand production during phytoplankton blooms. Limnol. Oceanogr. Lett. 1:36-43. DOI:10.1002/lol2.10026	hogle-et-al-2016-2	https://dx.doi.org/10.1002/lol2.10026
2016-01-04	Trace metal acquisition by heterotrophic bacterioplankton with contrasting trophic strategies	Appl. Environ. Microbiol.	[Supplemental Material](https://dx.doi.org/10.6084/m9.figshare.1533034)	__Hogle SL__, Thrash JC, Dupont CL, Barbeau KA. (2016). Trace metal acquisition by heterotrophic bacterioplankton with contrasting trophic strategies. _Appl. Environ. Microbiol._ 82(5):1613-1624. DOI:10.1128/AEM.03128-15	hogle-et-al-2016-1	https://dx.doi.org/10.1128/AEM.03128-15
2014-10-21	Genomes and gene expression across light and productivity gradients in eastern subtropical Pacific microbial communities	ISME J.		Dupont CL, McCrow JP, Valas R, Moustafa A, Walworth N, Goodenough U, Roth R, __Hogle SL__, Bai J, Johnson ZI, Mann E, Palenik B, Barbeau KA, Venter JC, Allen AA. (2015). Genomes and gene expression across light and productivity gradients in eastern subtropical Pacific microbial communities. _ISME J._ 1(17):1751-7362/14. DOI:10.1038/ismej.2014.198	dupont-et-al-2015-1	https://dx.doi.org/10.1038/ismej.2014.198
2014-04-22	Heme in the marine environment: from cells to the iron cycle	Metallomics		__Hogle SL__, Barbeau KA, Gledhill MA. (2014). Heme in the marine environment: from cells to the iron cycle. _Metallomics._ 6:1107-1120. DOI:10.1039/c4mt00031e	hogle-et-al-2014-1	https://dx.doi.org/10.1039/c4mt00031e
2013-09-27	Composite Bacterial Hopanoids and their Microbial Producers across Oxygen Gradients in the Water Column of the California Current	Appl. Environ. Microbiol.		Kharbush JJ, Ugalde JA, __Hogle SL__, Allen EE, Aluwihare LI. (2013). Composite Bacterial Hopanoids and their Microbial Producers across Oxygen Gradients in the Water Column of the California Current. _Appl. Environ. Microbiol._ 79(23): 7491-7501. DOI:10.1128/AEM.02367-13	kharbush-et-al-2013-1	http://dx.doi.org/10.1128/AEM.02367-13
2013-07-19	Utilization of heme as an iron source by marine Alphaproteobacteria in the Roseobacter clade	Appl. Environ. Microbiol.		Roe KL, __Hogle SL__, Barbeau KA. (2013). Utilization of heme as an iron source by marine _Alphaproteobacteria_ in the _Roseobacter_ clade. _Appl. Environ. Microbiol._ 79(18) 5753-5762. DOI:10.1128/AEM.01562-13	roe-et-al-2013-1	http://dx.doi.org/10.1128/AEM.01562-13
2011-09-01	Deepwater Horizon Oil Spill: A Review of the Planktonic Response	Oceanography		Abbriano RM, Carranza MM, __Hogle SL__, _et al._ (2011). Deepwater Horizon Oil Spill: A Review of the Planktonic Response. _Oceanography_ 24(3):294-301. DOI:10.5670/oceanog.2011.80	abbriano-et-al-2011-1	http://dx.doi.org/10.5670/oceanog.2011.80
